SottoTitolo2,StottoTitolo3
Periodo riferimento: 2024,Macro categoria: coltivazioni - Categoria: olii e grassi vegetali - Gruppo: olii di oliva di pressione - Prodotto: tutti

Piazza_Comune,Mese,SettimanaPerMese,Prodotto,UdMKey6,PrezzoMedioPerUdM14,Textbox6,Varieta,UdMKey7,PrezzoMedioPerUdM15,Textbox9,Varieta1,UdMKey8,PrezzoMedioPerUdM16,Textbox7
AGRIGENTO,ott,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","9,10",-,€/kg,"9,00","9,10",,,,
AGRIGENTO,ott,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,10",-,€/kg,"9,15","9,10",,,,
AGRIGENTO,ott,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,10",-,€/kg,"9,15","9,10",,,,
AGRIGENTO,ott,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,55","9,10",-,€/kg,"9,55","9,10",,,,
AGRIGENTO,ott,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
AGRIGENTO,nov,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
AGRIGENTO,nov,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
AGRIGENTO,nov,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
AGRIGENTO,nov,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
AGRIGENTO,dic,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
AGRIGENTO,dic,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
AGRIGENTO,dic,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
AGRIGENTO,dic,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,70","9,10",-,€/kg,"9,70","9,10",,,,
BARI,gen,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,gen,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,gen,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,gen,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,feb,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,feb,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,feb,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,feb,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,feb,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,mar,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,mar,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,mar,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,mar,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,apr,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BARI,apr,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BARI,apr,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BARI,apr,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BARI,mag,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BARI,mag,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BARI,mag,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BARI,mag,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BARI,mag,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BARI,giu,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,60","9,43",-,€/kg,"9,60","9,43",,,,
BARI,giu,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,60","9,43",-,€/kg,"9,60","9,43",,,,
BARI,giu,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BARI,giu,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BARI,lug,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BARI,lug,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BARI,lug,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BARI,lug,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BARI,ago,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,23","9,43",-,€/kg,"9,23","9,43",,,,
BARI,ago,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,ago,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,ago,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,ago,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,set,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,set,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,set,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,set,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,ott,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,ott,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,ott,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,ott,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,ott,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,nov,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,90","9,43",-,€/kg,"8,90","9,43",,,,
BARI,nov,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,75","9,43",-,€/kg,"8,75","9,43",,,,
BARI,nov,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,60","9,43",-,€/kg,"8,60","9,43",,,,
BARI,nov,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BARI,dic,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,20","9,43",-,€/kg,"9,20","9,43",,,,
BARI,dic,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,55","9,43",-,€/kg,"9,55","9,43",,,,
BARI,dic,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,55","9,43",-,€/kg,"9,55","9,43",,,,
BARI,dic,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,55","9,43",-,€/kg,"9,55","9,43",,,,
BISCEGLIE,gen,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,gen,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,gen,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,gen,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,feb,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,feb,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,feb,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,feb,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,feb,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,mar,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,mar,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,mar,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,mar,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,apr,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,68","9,43",-,€/kg,"9,68","9,43",,,,
BISCEGLIE,apr,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BISCEGLIE,apr,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BISCEGLIE,apr,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BISCEGLIE,mag,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BISCEGLIE,mag,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BISCEGLIE,mag,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BISCEGLIE,mag,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BISCEGLIE,mag,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,65","9,43",-,€/kg,"9,65","9,43",,,,
BISCEGLIE,giu,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,60","9,43",-,€/kg,"9,60","9,43",,,,
BISCEGLIE,giu,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,60","9,43",-,€/kg,"9,60","9,43",,,,
BISCEGLIE,giu,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BISCEGLIE,giu,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BISCEGLIE,lug,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BISCEGLIE,lug,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BISCEGLIE,lug,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BISCEGLIE,lug,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","9,43",-,€/kg,"9,50","9,43",,,,
BISCEGLIE,ago,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,23","9,43",-,€/kg,"9,23","9,43",,,,
BISCEGLIE,ago,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,ago,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,ago,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,ago,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,set,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,set,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,set,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,set,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,ott,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,ott,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,ott,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,ott,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,ott,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,nov,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,90","9,43",-,€/kg,"8,90","9,43",,,,
BISCEGLIE,nov,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,75","9,43",-,€/kg,"8,75","9,43",,,,
BISCEGLIE,nov,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,60","9,43",-,€/kg,"8,60","9,43",,,,
BISCEGLIE,nov,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,15","9,43",-,€/kg,"9,15","9,43",,,,
BISCEGLIE,dic,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,20","9,43",-,€/kg,"9,20","9,43",,,,
BISCEGLIE,dic,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,55","9,43",-,€/kg,"9,55","9,43",,,,
BISCEGLIE,dic,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,55","9,43",-,€/kg,"9,55","9,43",,,,
BISCEGLIE,dic,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,55","9,43",-,€/kg,"9,55","9,43",,,,
BRINDISI,gen,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,gen,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","8,76",-,€/kg,"9,50","8,76",,,,
BRINDISI,gen,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,50","8,76",-,€/kg,"9,50","8,76",,,,
BRINDISI,gen,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,feb,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,feb,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,feb,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,feb,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,feb,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,mar,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,mar,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,30","8,76",-,€/kg,"9,30","8,76",,,,
BRINDISI,mar,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","8,76",-,€/kg,"8,80","8,76",,,,
BRINDISI,mar,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","8,76",-,€/kg,"8,80","8,76",,,,
BRINDISI,apr,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,60","8,76",-,€/kg,"8,60","8,76",,,,
BRINDISI,apr,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,60","8,76",-,€/kg,"8,60","8,76",,,,
BRINDISI,apr,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,apr,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,30","8,76",-,€/kg,"8,30","8,76",,,,
BRINDISI,mag,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,30","8,76",-,€/kg,"8,30","8,76",,,,
BRINDISI,mag,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,30","8,76",-,€/kg,"8,30","8,76",,,,
BRINDISI,mag,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,30","8,76",-,€/kg,"8,30","8,76",,,,
BRINDISI,mag,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","8,76",-,€/kg,"8,80","8,76",,,,
BRINDISI,mag,V, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","8,76",-,€/kg,"9,00","8,76",,,,
BRINDISI,giu,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","8,76",-,€/kg,"9,00","8,76",,,,
BRINDISI,giu,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","8,76",-,€/kg,"9,00","8,76",,,,
BRINDISI,giu,III, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","8,76",-,€/kg,"9,00","8,76",,,,
BRINDISI,giu,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","8,76",-,€/kg,"9,00","8,76",,,,
BRINDISI,lug,I, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","8,76",-,€/kg,"9,00","8,76",,,,
BRINDISI,lug,II, Olio Extravergine Di Oliva franco azienda,€/kg,"9,00","8,76",-,€/kg,"9,00","8,76",,,,
BRINDISI,lug,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,80","8,76",-,€/kg,"8,80","8,76",,,,
BRINDISI,lug,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ago,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ago,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ago,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ago,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ago,V, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,set,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,set,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,set,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,set,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ott,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ott,II, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ott,III, Olio Extravergine Di Oliva franco azienda,€/kg,"8,40","8,76",-,€/kg,"8,40","8,76",,,,
BRINDISI,ott,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"8,60","8,76",-,€/kg,"8,60","8,76",,,,
BRINDISI,ott,V, Olio Extravergine Di Oliva franco azienda,€/kg,"8,60","8,76",-,€/kg,"8,60","8,76",,,,
BRINDISI,nov,I, Olio Extravergine Di Oliva franco azienda,€/kg,"8,60","8,76",-,€/kg,"8,60","8,76",,,,
BRINDISI,nov,II, Olio Extravergine Di Oliva franco azienda,€/kg,"7,00","8,76",-,€/kg,"7,00","8,76",,,,
BRINDISI,nov,III, Olio Extravergine Di Oliva franco azienda,€/kg,"7,00","8,76",-,€/kg,"7,00","8,76",,,,
BRINDISI,nov,IV, Olio Extravergine Di Oliva franco azienda,€/kg,"9,20","8,76",-,€/kg,"9,20","8,76",,,,
