SottoTitolo2,SottoTitolo3
Periodo riferimento: 2024,Macro categoria: coltivazioni - Categoria: olii e grassi vegetali - Gruppo: olii di oliva di pressione - Prodotto: tutti

Prodotto,UdMKey,Mese,SettimanaPerMese,PrezzoMedioPerUdM13,Textbox291,Piazza__Comune,UdMKey6,PrezzoMedioPerUdM14,Textbox293,Varieta,UdMKey7,PrezzoMedioPerUdM15,Textbox292,Varieta1,UdMKey8,PrezzoMedioPerUdM16,Textbox294,Varieta2,UdMKey9,PrezzoMedioPerUdM17,Textbox295
Olio Dop,,ott,V,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,nov,I,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,nov,II,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,nov,III,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,nov,IV,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,dic,I,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,dic,II,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,dic,III,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,dic,IV,,,VITERBO,€/kg,"10,50","9,76",Canino,€/kg,"10,50","9,76",,,,,,,,
Olio Dop,,gen,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,gen,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,gen,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,gen,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,feb,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,feb,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,feb,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,feb,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,feb,V,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mar,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mar,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mar,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mar,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,apr,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,apr,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,apr,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,apr,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mag,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mag,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mag,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mag,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,mag,V,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,giu,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,giu,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,giu,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,giu,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,lug,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,lug,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,lug,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,lug,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ago,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ago,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ago,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ago,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ago,V,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,set,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,set,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,set,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,set,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ott,I,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ott,II,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ott,III,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ott,IV,,,FIRENZE,€/kg,"15,00","15,17",Chianti Classico,€/kg,"15,00","15,17",,,,,,,,
Olio Dop,,ott,V,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,nov,I,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,nov,II,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,nov,III,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,nov,IV,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,dic,I,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,dic,II,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,dic,III,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,dic,IV,,,FIRENZE,€/kg,"16,00","15,17",Chianti Classico,€/kg,"16,00","15,17",,,,,,,,
Olio Dop,,gen,I,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,gen,II,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,gen,III,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,gen,IV,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,feb,I,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,feb,II,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,feb,III,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,feb,IV,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,feb,V,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,mar,I,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,mar,II,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,mar,III,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,mar,IV,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,apr,I,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,apr,II,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,apr,III,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,apr,IV,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,mag,I,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,mag,II,,,PERUGIA,€/kg,"11,00","11,22",Umbria,€/kg,"11,00","11,22",,,,,,,,
Olio Dop,,mag,III,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,mag,IV,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,mag,V,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,giu,I,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,giu,II,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,giu,III,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,giu,IV,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,lug,I,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,lug,II,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,lug,III,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,lug,IV,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ago,I,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ago,II,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ago,III,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ago,IV,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ago,V,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,set,I,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,set,II,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,set,III,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,set,IV,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ott,I,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ott,II,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ott,III,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ott,IV,,,PERUGIA,€/kg,"11,10","11,22",Umbria,€/kg,"11,10","11,22",,,,,,,,
Olio Dop,,ott,V,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,nov,I,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,nov,II,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,nov,III,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,nov,IV,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,dic,I,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,dic,II,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,dic,III,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,dic,IV,,,PERUGIA,€/kg,"12,00","11,22",Umbria,€/kg,"12,00","11,22",,,,,,,,
Olio Dop,,gen,I,,,CATANIA-ENNA-MESSINA,€/kg,"11,85","12,37",Monte Etna,€/kg,"11,85","12,37",,,,,,,,
Olio Dop,,gen,II,,,CATANIA-ENNA-MESSINA,€/kg,"11,85","12,37",Monte Etna,€/kg,"11,85","12,37",,,,,,,,
Olio Dop,,gen,III,,,CATANIA-ENNA-MESSINA,€/kg,"11,85","12,37",Monte Etna,€/kg,"11,85","12,37",,,,,,,,
Olio Dop,,gen,IV,,,CATANIA-ENNA-MESSINA,€/kg,"11,95","12,37",Monte Etna,€/kg,"11,95","12,37",,,,,,,,
Olio Dop,,feb,I,,,CATANIA-ENNA-MESSINA,€/kg,"11,95","12,37",Monte Etna,€/kg,"11,95","12,37",,,,,,,,
Olio Dop,,feb,II,,,CATANIA-ENNA-MESSINA,€/kg,"11,95","12,37",Monte Etna,€/kg,"11,95","12,37",,,,,,,,
Olio Dop,,feb,III,,,CATANIA-ENNA-MESSINA,€/kg,"11,95","12,37",Monte Etna,€/kg,"11,95","12,37",,,,,,,,
Olio Dop,,feb,IV,,,CATANIA-ENNA-MESSINA,€/kg,"11,95","12,37",Monte Etna,€/kg,"11,95","12,37",,,,,,,,
Olio Dop,,feb,V,,,CATANIA-ENNA-MESSINA,€/kg,"11,95","12,37",Monte Etna,€/kg,"11,95","12,37",,,,,,,,
Olio Dop,,mar,I,,,CATANIA-ENNA-MESSINA,€/kg,"11,85","12,37",Monte Etna,€/kg,"11,85","12,37",,,,,,,,
Olio Dop,,mar,II,,,CATANIA-ENNA-MESSINA,€/kg,"11,80","12,37",Monte Etna,€/kg,"11,80","12,37",,,,,,,,
Olio Dop,,mar,III,,,CATANIA-ENNA-MESSINA,€/kg,"11,80","12,37",Monte Etna,€/kg,"11,80","12,37",,,,,,,,
Olio Dop,,mar,IV,,,CATANIA-ENNA-MESSINA,€/kg,"11,80","12,37",Monte Etna,€/kg,"11,80","12,37",,,,,,,,
Olio Dop,,apr,I,,,CATANIA-ENNA-MESSINA,€/kg,"11,80","12,37",Monte Etna,€/kg,"11,80","12,37",,,,,,,,
Olio Dop,,apr,II,,,CATANIA-ENNA-MESSINA,€/kg,"11,75","12,37",Monte Etna,€/kg,"11,75","12,37",,,,,,,,
Olio Dop,,apr,III,,,CATANIA-ENNA-MESSINA,€/kg,"11,70","12,37",Monte Etna,€/kg,"11,70","12,37",,,,,,,,
Olio Dop,,apr,IV,,,CATANIA-ENNA-MESSINA,€/kg,"11,70","12,37",Monte Etna,€/kg,"11,70","12,37",,,,,,,,
Olio Dop,,mag,I,,,CATANIA-ENNA-MESSINA,€/kg,"11,70","12,37",Monte Etna,€/kg,"11,70","12,37",,,,,,,,
Olio Dop,,mag,II,,,CATANIA-ENNA-MESSINA,€/kg,"11,70","12,37",Monte Etna,€/kg,"11,70","12,37",,,,,,,,
Olio Dop,,mag,III,,,CATANIA-ENNA-MESSINA,€/kg,"11,85","12,37",Monte Etna,€/kg,"11,85","12,37",,,,,,,,
Olio Dop,,mag,IV,,,CATANIA-ENNA-MESSINA,€/kg,"11,85","12,37",Monte Etna,€/kg,"11,85","12,37",,,,,,,,
Olio Dop,,mag,V,,,CATANIA-ENNA-MESSINA,€/kg,"11,85","12,37",Monte Etna,€/kg,"11,85","12,37",,,,,,,,
Olio Dop,,giu,I,,,CATANIA-ENNA-MESSINA,€/kg,"11,85","12,37",Monte Etna,€/kg,"11,85","12,37",,,,,,,,
Olio Dop,,giu,II,,,CATANIA-ENNA-MESSINA,€/kg,"11,90","12,37",Monte Etna,€/kg,"11,90","12,37",,,,,,,,
Olio Dop,,giu,III,,,CATANIA-ENNA-MESSINA,€/kg,"11,90","12,37",Monte Etna,€/kg,"11,90","12,37",,,,,,,,
Olio Dop,,giu,IV,,,CATANIA-ENNA-MESSINA,€/kg,"11,90","12,37",Monte Etna,€/kg,"11,90","12,37",,,,,,,,
Olio Dop,,lug,I,,,CATANIA-ENNA-MESSINA,€/kg,"11,90","12,37",Monte Etna,€/kg,"11,90","12,37",,,,,,,,
Olio Dop,,lug,II,,,CATANIA-ENNA-MESSINA,€/kg,"11,90","12,37",Monte Etna,€/kg,"11,90","12,37",,,,,,,,
Olio Dop,,lug,III,,,CATANIA-ENNA-MESSINA,€/kg,"12,70","12,37",Monte Etna,€/kg,"12,70","12,37",,,,,,,,
Olio Dop,,lug,IV,,,CATANIA-ENNA-MESSINA,€/kg,"12,70","12,37",Monte Etna,€/kg,"12,70","12,37",,,,,,,,
Olio Dop,,ago,I,,,CATANIA-ENNA-MESSINA,€/kg,"12,70","12,37",Monte Etna,€/kg,"12,70","12,37",,,,,,,,
Olio Dop,,ago,II,,,CATANIA-ENNA-MESSINA,€/kg,"12,70","12,37",Monte Etna,€/kg,"12,70","12,37",,,,,,,,
Olio Dop,,ago,III,,,CATANIA-ENNA-MESSINA,€/kg,"12,70","12,37",Monte Etna,€/kg,"12,70","12,37",,,,,,,,
Olio Dop,,ago,IV,,,CATANIA-ENNA-MESSINA,€/kg,"12,70","12,37",Monte Etna,€/kg,"12,70","12,37",,,,,,,,
Olio Dop,,ago,V,,,CATANIA-ENNA-MESSINA,€/kg,"12,80","12,37",Monte Etna,€/kg,"12,80","12,37",,,,,,,,
Olio Dop,,set,I,,,CATANIA-ENNA-MESSINA,€/kg,"12,80","12,37",Monte Etna,€/kg,"12,80","12,37",,,,,,,,
Olio Dop,,set,II,,,CATANIA-ENNA-MESSINA,€/kg,"12,80","12,37",Monte Etna,€/kg,"12,80","12,37",,,,,,,,
Olio Dop,,set,III,,,CATANIA-ENNA-MESSINA,€/kg,"12,85","12,37",Monte Etna,€/kg,"12,85","12,37",,,,,,,,
Olio Dop,,set,IV,,,CATANIA-ENNA-MESSINA,€/kg,"12,85","12,37",Monte Etna,€/kg,"12,85","12,37",,,,,,,,
Olio Dop,,ott,I,,,CATANIA-ENNA-MESSINA,€/kg,"12,85","12,37",Monte Etna,€/kg,"12,85","12,37",,,,,,,,
Olio Dop,,ott,II,,,CATANIA-ENNA-MESSINA,€/kg,"12,90","12,37",Monte Etna,€/kg,"12,90","12,37",,,,,,,,
Olio Dop,,ott,III,,,CATANIA-ENNA-MESSINA,€/kg,"12,90","12,37",Monte Etna,€/kg,"12,90","12,37",,,,,,,,
Olio Dop,,ott,IV,,,CATANIA-ENNA-MESSINA,€/kg,"12,90","12,37",Monte Etna,€/kg,"12,90","12,37",,,,,,,,
Olio Dop,,ott,V,,,CATANIA-ENNA-MESSINA,€/kg,"12,95","12,37",Monte Etna,€/kg,"12,95","12,37",,,,,,,,
Olio Dop,,nov,I,,,CATANIA-ENNA-MESSINA,€/kg,"13,30","12,37",Monte Etna,€/kg,"13,30","12,37",,,,,,,,
Olio Dop,,nov,II,,,CATANIA-ENNA-MESSINA,€/kg,"13,30","12,37",Monte Etna,€/kg,"13,30","12,37",,,,,,,,
Olio Dop,,nov,III,,,CATANIA-ENNA-MESSINA,€/kg,"13,30","12,37",Monte Etna,€/kg,"13,30","12,37",,,,,,,,
